#freq [Hz], v1 [mV], v2 [mV], phase [deg]   
10000,235,235,-1.2
20000,240,240,-3.2
30000,268,266,-4.6
50000,259,255,-8.2
70000,254,244,-11.9
100000,265,249,-16.4
200000,255,213,-32.8
300000,280,190,-42.8
